,dt,weekday,year,id_driver,id_carrier_number,dim_carrier_type,dim_carrier_company_name,home_base_city,home_base_state,carrier_trucks,num_trucks,interested_in_drayage,port_qualified,signup_source,ts_signup,ts_first_approved,days_signup_to_approval,driver_with_twic,dim_preferred_lanes,first_load_date,load_day,loads,marketplace_loads_otr,marketplace_loads_atlas,marketplace_loads,brokerage_loads_otr,brokerage_loads_atlas,brokerage_loads
83624,2017-10-31,Tuesday,2017,4555,C0090408,Fleet,Freightquote,Lynwood,CA,"[""dryvan""]",5.0,not specified,no,Other,2017-01-10 18:41:50+00:00,2019-01-14 20:57:35+00:00,734.0,no,,2017-02-22,2017-10-31,1,3,0,3,4,0,4
83625,2020-12-02,Wednesday,2020,34246,C0094651,Fleet,NFS asset Drayage,Lynwood,CA,"[""poweronly"", ""dryvan""]",195.0,yes,yes,Other,2019-03-04 20:50:37+00:00,2019-03-04 21:03:38+00:00,0.0,no,,2020-04-27,2020-12-02,1,0,0,0,21,0,21
83626,2017-02-14,Tuesday,2017,4540,C0090412,Fleet,Carlos Flores,Los Angeles,CA,"[""dryvan""]",20.0,not specified,no,Other,2017-01-11 18:17:00+00:00,2019-06-28 19:55:04+00:00,898.0,no,,2017-01-13,2017-02-14,4,1,0,1,174,0,174
83627,2019-10-23,Wednesday,2019,16886,U0104770,Owner Operator,lala trucking,Los Angeles,CA,"[""poweronly""]",1.0,not specified,no,Other,2018-12-09 05:35:54+00:00,2018-12-10 17:27:47+00:00,1.0,no,,2018-12-12,2019-10-23,6,156,245,401,127,8,135
83628,2020-11-14,Saturday,2020,16280,U0104254,Owner Operator,JC&A Transportation Inc,Los Angeles,CA,"[""poweronly""]",1.0,yes,yes,Other,2018-11-17 21:01:30+00:00,2019-07-16 23:15:03+00:00,241.0,yes,,2020-08-31,2020-11-14,4,0,417,417,0,247,247
83629,2020-07-30,Thursday,2020,23798,U0111357,Owner Operator,ROSALES TRANSPORTATION SERVICES LLC,Long Beach,CA,"[""poweronly""]",1.0,yes,yes,Mobile,2019-05-29 19:41:27+00:00,2019-09-26 17:32:35+00:00,119.0,yes,,2019-11-27,2020-07-30,7,0,760,760,0,64,64
83630,2019-11-20,Wednesday,2019,24213,U0111753,Owner Operator,Cji logistics inc,Los Angeles,CA,"[""dryvan""]",1.0,not specified,no,Mobile,2019-06-07 16:19:01+00:00,2019-06-07 23:18:53+00:00,0.0,no,,2019-06-14,2019-11-20,1,10,2,12,2,0,2
83631,2020-08-24,Monday,2020,15756,C0091573,Fleet,Global Express Trucking Corp.,San Diego,CA,"[""dryvan"", ""poweronly""]",5.0,not specified,no,Other,2018-02-09 18:42:22+00:00,2021-02-06 02:22:17+00:00,1092.0,no,,2018-11-03,2020-08-24,1,1,0,1,70,0,70
83632,2019-10-31,Thursday,2019,19015,C0092544,Fleet,meras trucking inc,Bell,CA,"[""dryvan"", ""poweronly""]",15.0,not specified,no,Other,2018-07-10 20:08:03+00:00,2019-03-07 23:11:26+00:00,240.0,no,California (Central)->Arizona|California (Southern)->Nevada (Northern)|California (Southern)->Nevada (Southern)|California (Southern)->Utah|California (Southern)->Texas (El Paso Region),2019-03-13,2019-10-31,2,18,0,18,23,0,23
83633,2021-01-06,Wednesday,2021,6223,U0095596,Owner Operator,XA Torres Delivery LLC,Perris,CA,"[""dryvan""]",1.0,not specified,no,Other,2017-05-01 18:49:00+00:00,2019-08-16 18:53:12+00:00,837.0,no,,2017-05-02,2021-01-06,2,12,0,12,155,0,155
83634,2020-05-07,Thursday,2020,22260,C0095142,Fleet,I CAN TRUCKING INC.,Ontario,CA,"[""poweronly"", ""dryvan""]",6.0,yes,no,Other,2019-04-30 22:28:02+00:00,2019-04-30 22:30:49+00:00,0.0,no,,2019-05-07,2020-05-07,1,57,10,67,470,31,501
83635,2018-12-01,Saturday,2018,16642,C0093698,Fleet,Raya Transportation Services,Hesperia,CA,"[""dryvan""]",3.0,yes,no,Other,2018-11-30 23:49:23+00:00,2018-11-30 23:51:22+00:00,0.0,no,,2018-12-01,2018-12-01,1,0,0,0,1,0,1
83636,2021-02-01,Monday,2021,26609,C0095984,Fleet,WESTERN CONTAIN TRANSPORTATION LLC,Los Angeles,CA,"[""poweronly""]",4.0,yes,yes,Other,2019-07-24 23:12:10+00:00,2019-07-24 23:13:26+00:00,0.0,yes,,2019-08-03,2021-02-01,3,2,895,897,0,93,93
83637,2016-12-16,Friday,2016,329,C0090004,Fleet,IDC OTR,City of industry,CA,"[""dryvan"", ""reefer""]",17.0,not specified,no,Other,2016-01-07 18:49:14+00:00,,,no,,2016-02-02,2016-12-16,1,21,0,21,338,0,338
83638,2021-02-05,Friday,2021,32076,U0119174,Owner Operator,Bunny transport,Lynwood,CA,"[""poweronly""]",1.0,yes,yes,Mobile,2019-12-27 12:37:32+00:00,2020-01-14 01:47:40+00:00,17.0,yes,,2020-02-06,2021-02-05,2,0,581,581,0,5,5
83639,2020-03-24,Tuesday,2020,33499,C0097561,Fleet,ADC TRANSPORT INC,Paramount,CA,"[""poweronly""]",9.0,yes,yes,Other,2020-02-27 00:41:40+00:00,2020-02-28 22:31:09+00:00,1.0,no,,2020-03-03,2020-03-24,1,28,278,306,0,323,323
83640,2017-10-20,Friday,2017,8155,C0090202,Fleet,YESING INTERNATIONAL INC,Chino,CA,"[""dryvan""]",5.0,not specified,no,Other,2016-06-17 16:07:34+00:00,2020-07-24 18:06:21+00:00,1498.0,no,,2017-10-17,2017-10-20,1,5,0,5,34,0,34
83641,2019-09-12,Thursday,2019,27958,C0096353,Fleet,HOMESTEAD EXPRESS CORP,Live Oak,FL,"[""dryvan"", ""poweronly""]",4.0,yes,no,Other,2019-09-04 00:26:14+00:00,2019-09-05 20:46:21+00:00,1.0,no,,2019-09-04,2019-09-12,2,0,0,0,74,0,74
83642,2017-08-29,Tuesday,2017,4524,C0090405,Fleet,Daylight Transport,Long Beach,CA,"[""dryvan""]",6.0,not specified,no,Other,2017-01-10 18:27:52+00:00,,,no,,2017-01-20,2017-08-29,1,0,0,0,2671,0,2671
83643,2017-08-28,Monday,2017,7450,C0090793,Fleet,triple g trucking,Baldwin Park,CA,"[""dryvan""]",6.0,yes,no,Other,2017-08-10 16:33:03+00:00,2018-12-20 18:28:47+00:00,497.0,no,,2017-08-23,2017-08-28,3,83,0,83,89,0,89
83644,2020-06-20,Saturday,2020,34535,C0097805,Fleet,ZYG WORLD INC,Chino Hills,CA,"[""poweronly""]",3.0,yes,no,Other,2020-05-15 23:21:28+00:00,2020-05-16 00:27:45+00:00,0.0,no,,2020-05-25,2020-06-20,1,0,0,0,82,0,82
83645,2018-10-09,Tuesday,2018,8320,C0090999,Fleet,pointdirect,Rancho Cucamonga,CA,"[""dryvan""]",5.0,yes,no,Other,2017-10-13 22:09:51+00:00,2019-03-19 15:37:55+00:00,521.0,no,,2017-10-27,2018-10-09,1,1,0,1,1,0,1
83646,2017-01-11,Wednesday,2017,632,C0090094,Fleet,MC Express Trucking LLC,Rosarito,B.C.,"[""dryvan""]",101.0,not specified,no,Other,2016-03-09 20:56:40+00:00,2019-02-22 16:56:58+00:00,1079.0,no,,2016-04-04,2017-01-11,1,0,0,0,113,0,113
83647,2018-09-18,Tuesday,2018,9935,C0091573,Fleet,Global Express Trucking Corp.,San Diego,CA,"[""dryvan"", ""poweronly""]",5.0,not specified,no,Other,2018-02-09 18:42:22+00:00,2021-02-06 02:22:17+00:00,1092.0,no,,2018-02-13,2018-09-18,4,2,0,2,382,0,382
83648,2019-08-21,Wednesday,2019,24918,C0095723,Fleet,"Parris Transporting Solutions, LLC",Torrance,CA,"[""dryvan"", ""poweronly""]",15.0,yes,no,Other,2019-06-25 21:55:28+00:00,2019-06-25 22:00:29+00:00,0.0,no,,2019-07-01,2019-08-21,1,49,36,85,94,0,94
83649,2017-03-28,Tuesday,2017,4540,C0090412,Fleet,Carlos Flores,Los Angeles,CA,"[""dryvan""]",20.0,not specified,no,Other,2017-01-11 18:17:00+00:00,2019-06-28 19:55:04+00:00,898.0,no,,2017-01-13,2017-03-28,3,1,0,1,174,0,174
83650,2019-01-18,Friday,2019,16232,C0093581,Fleet,LOS QUIOTES TRUCKING INC,West Covina,CA,"[""dryvan"", ""poweronly""]",4.0,not specified,no,Other,2018-11-15 22:39:45+00:00,2018-11-15 22:40:03+00:00,0.0,no,,2018-12-07,2019-01-18,4,38,2,40,6,0,6
83651,2016-06-23,Thursday,2016,901,C0090072,Fleet,Morgan Trucking,Fontana,CA,"[""dryvan""]",7.0,not specified,no,Other,2016-03-02 00:29:00+00:00,2019-02-05 17:22:54+00:00,1070.0,no,,2016-05-18,2016-06-23,1,0,0,0,18,0,18
83652,2019-11-20,Wednesday,2019,15857,C0093467,Fleet,AA Logistics Group Inc,Los Angeles,CA,"[""dryvan""]",2.0,not specified,no,Other,2018-11-01 15:34:39+00:00,2019-07-05 20:41:13+00:00,246.0,no,,2018-11-05,2019-11-20,1,14,0,14,168,0,168
83653,2019-08-27,Tuesday,2019,16141,U0104146,Owner Operator,Oscar A Cubias Diaz,Los Angeles,CA,"[""poweronly""]",1.0,yes,no,Other,2018-11-14 02:05:37+00:00,2018-11-21 19:33:53+00:00,7.0,no,,2018-11-27,2019-08-27,2,0,0,0,400,0,400
83654,2021-01-23,Saturday,2021,37047,U0123324,Owner Operator,easy global business corp,Los Angeles County,CA,"[""poweronly""]",1.0,yes,yes,Other,2020-12-01 19:31:51+00:00,2020-12-02 20:57:46+00:00,1.0,yes,,2020-12-05,2021-01-23,5,0,162,162,0,0,0
83655,2020-11-10,Tuesday,2020,33202,C0097260,Fleet,ONE SOURCE TRANSPORTATION & LOGISTICS,Long Beach,CA,"[""poweronly"", ""dryvan""]",7.0,yes,yes,Other,2019-12-30 18:41:14+00:00,2019-12-30 18:54:30+00:00,0.0,yes,,2020-02-11,2020-11-10,1,0,33,33,0,3,3
83656,2021-01-28,Thursday,2021,37086,C0098322,Fleet,Flying Express Inc.,Carson,CA,"[""poweronly""]",2.0,yes,no,Other,2020-10-13 22:55:56+00:00,2020-10-14 00:15:51+00:00,0.0,yes,,2020-12-03,2021-01-28,27,0,0,0,0,270,270
83657,2020-01-03,Friday,2020,30689,U0118034,Owner Operator,JBM TRANSPORT INC,Fontana,CA,"[""poweronly""]",1.0,not specified,no,Other,2019-11-13 17:26:30+00:00,2019-11-13 17:47:16+00:00,0.0,no,,2019-11-05,2020-01-03,1,0,0,0,60,0,60
83658,2019-08-21,Wednesday,2019,14505,U0102745,Owner Operator,EM trucking,Fontana,CA,"[""dryvan""]",1.0,not specified,no,Other,2018-09-20 20:48:21+00:00,2019-06-05 17:13:03+00:00,257.0,no,,2018-10-16,2019-08-21,1,14,0,14,169,0,169
83659,2018-05-07,Monday,2018,11060,C0092011,Fleet,FedEx Economy,Harrison,AR,"[""dryvan""]",1.0,yes,no,Other,2018-04-19 18:56:51+00:00,2019-01-09 21:03:14+00:00,265.0,no,,2018-04-23,2018-05-07,3,0,0,0,447,0,447
83660,2017-03-16,Thursday,2017,4796,C0090392,Fleet,Roadrunner Transportation,Los Angeles,CA,"[""dryvan""]",88.0,not specified,no,Other,2017-01-10 17:01:27+00:00,,,no,,2017-02-02,2017-03-16,1,0,0,0,3,0,3
83661,2019-11-08,Friday,2019,22478,U0110113,Owner Operator,Nelsons Deliveries ,Los Angeles,CA,"[""boxtruck""]",1.0,not specified,no,Mobile,2019-05-06 01:04:10+00:00,2019-05-08 16:12:21+00:00,2.0,no,,2019-05-22,2019-11-08,2,2,0,2,845,0,845
83662,2020-08-11,Tuesday,2020,28489,U0116078,Owner Operator,ALTA EXPRESS LLC.,Long Beach,CA,"[""poweronly""]",1.0,yes,yes,Mobile,2019-09-19 04:41:34+00:00,2019-09-23 17:24:54+00:00,4.0,yes,,2020-01-07,2020-08-11,1,6,82,88,2,1,3
83663,2020-10-24,Saturday,2020,18346,U0106010,Owner Operator,LUIS S ESPINOSA,Bell Gardens,CA,"[""poweronly""]",1.0,yes,yes,Other,2019-01-22 18:54:00+00:00,2020-03-20 15:56:03+00:00,422.0,yes,,2020-04-14,2020-10-24,5,0,258,258,0,37,37
83664,2019-06-17,Monday,2019,19708,U0107444,Owner Operator,CHUMATO TRANSPORTATION,Montebello,CA,"[""poweronly""]",1.0,not specified,no,Other,2019-02-22 00:57:16+00:00,2019-02-22 00:59:09+00:00,0.0,no,,2019-02-22,2019-06-17,1,301,60,361,236,3,239
83665,2019-06-10,Monday,2019,8859,U0097935,Owner Operator,DTELLIS TRUCKING,Long Beach,CA,"[""dryvan""]",1.0,not specified,no,Other,2017-12-07 14:37:42+00:00,2019-03-14 22:01:53+00:00,462.0,no,,2019-05-06,2019-06-10,1,25,6,31,0,1,1
83666,2020-01-23,Thursday,2020,18870,U0106560,Owner Operator,Z&N Transport,Los Angeles,CA,"[""dryvan""]",1.0,not specified,no,Other,2019-01-29 20:23:40+00:00,2019-01-29 22:30:55+00:00,0.0,no,,2019-09-23,2020-01-23,2,1,233,234,0,9,9
83667,2016-10-13,Thursday,2016,1282,C0090094,Fleet,MC Express Trucking LLC,Rosarito,B.C.,"[""dryvan""]",101.0,not specified,no,Other,2016-03-09 20:56:40+00:00,2019-02-22 16:56:58+00:00,1079.0,no,,2016-08-04,2016-10-13,1,0,0,0,164,0,164
83668,2018-03-03,Saturday,2018,7488,U0096763,Owner Operator,K&L Transportation,Rancho Palos Verdes,CA,"[""dryvan""]",1.0,yes,no,Other,2017-08-11 22:51:35+00:00,2019-04-03 00:45:42+00:00,599.0,no,,2017-08-14,2018-03-03,1,97,0,97,86,0,86
83669,2018-09-05,Wednesday,2018,10803,C0091553,Fleet,C & A Dedicated Trucking Service,Los Angeles,CA,"[""dryvan""]",4.0,not specified,no,Other,2018-02-06 18:24:33+00:00,,,no,,2018-04-06,2018-09-05,1,117,0,117,2,0,2
83670,2018-03-28,Wednesday,2018,9340,U0098353,Owner Operator,Calderon trucking ,Los Angeles,CA,"[""boxtruck""]",1.0,not specified,no,Other,2018-01-12 00:33:06+00:00,2019-08-14 14:42:02+00:00,579.0,no,,2018-01-15,2018-03-28,1,12,0,12,13,0,13
83671,2019-03-12,Tuesday,2019,4739,U0094383,Owner Operator,ayon trucking,Lynwood,CA,"[""poweronly""]",1.0,yes,no,Other,2017-01-17 18:31:10+00:00,2018-12-07 20:15:00+00:00,689.0,no,,2018-12-10,2019-03-12,1,0,1,1,293,0,293
83672,2019-06-06,Thursday,2019,13761,U0102070,Owner Operator,aj trans,Fresno,CA,"[""dryvan""]",1.0,not specified,no,Other,2018-08-25 13:54:07+00:00,2018-12-21 23:14:54+00:00,118.0,no,,2019-06-06,2019-06-06,1,1,0,1,0,0,0
83673,2017-09-22,Friday,2017,7450,C0090793,Fleet,triple g trucking,Baldwin Park,CA,"[""dryvan""]",6.0,yes,no,Other,2017-08-10 16:33:03+00:00,2018-12-20 18:28:47+00:00,497.0,no,,2017-08-23,2017-09-22,1,83,0,83,89,0,89
83674,2020-09-04,Friday,2020,35537,C0098029,Fleet,WILO'S EXPRESS INC,San Diego,CA,"[""dryvan""]",1.0,yes,no,Other,2020-07-28 15:19:44+00:00,2020-07-30 21:22:11+00:00,2.0,no,,2020-08-04,2020-09-04,2,0,0,0,471,0,471
83675,2020-11-14,Saturday,2020,34827,C0097856,Fleet,PEREIRA BROS LLC,Torrance,CA,"[""poweronly""]",3.0,yes,yes,Other,2020-06-01 21:27:42+00:00,2020-06-01 21:36:34+00:00,0.0,yes,,2020-06-18,2020-11-14,4,0,291,291,0,52,52
83676,2019-10-08,Tuesday,2019,14657,C0093129,Fleet,USA Global,La Mirada,CA,"[""dryvan""]",1.0,yes,no,Other,2018-09-25 17:06:03+00:00,2019-10-25 18:58:50+00:00,395.0,no,,2018-10-02,2019-10-08,1,1,0,1,517,0,517
83677,2019-11-08,Friday,2019,15067,U0103220,Owner Operator,ivamarcorporation,Beaumont,CA,"[""dryvan""]",1.0,not specified,no,Other,2018-10-12 01:00:13+00:00,2019-05-06 17:37:54+00:00,206.0,no,,2019-10-01,2019-11-08,1,8,2,10,0,0,0
83678,2020-06-05,Friday,2020,31638,C0097193,Fleet,Chaidez Trucking,Downey,CA,"[""poweronly""]",22.0,yes,yes,Other,2019-12-12 00:07:33+00:00,2019-12-12 00:07:54+00:00,0.0,yes,,2020-03-31,2020-06-05,4,0,63,63,0,44,44
83679,2020-01-28,Tuesday,2020,11068,U0099837,Owner Operator,Tsv Trucking,La Puente,CA,"[""dryvan""]",1.0,not specified,no,Other,2018-04-19 23:44:39+00:00,2019-07-02 20:31:38+00:00,438.0,no,,2018-04-23,2020-01-28,1,52,0,52,11,0,11
83680,2018-02-24,Saturday,2018,8536,U0097642,Owner Operator,Premier Global Logistics,Pleasanton,CA,"[""dryvan""]",1.0,not specified,no,Other,2017-11-08 00:08:32+00:00,,,no,,2017-10-01,2018-02-24,1,0,0,0,55,0,55
83681,2020-09-18,Friday,2020,35639,U0122101,Owner Operator,Amaral Transport LLC,Long Beach,CA,"[""poweronly""]",1.0,yes,yes,Mobile,2020-08-12 21:45:01+00:00,2020-08-13 22:56:39+00:00,1.0,yes,,2020-08-19,2020-09-18,3,0,28,28,0,1,1
83682,2020-07-01,Wednesday,2020,33661,C0094651,Fleet,NFS asset Drayage,Lynwood,CA,"[""poweronly"", ""dryvan""]",195.0,yes,yes,Other,2019-03-04 20:50:37+00:00,2019-03-04 21:03:38+00:00,0.0,yes,,2020-03-11,2020-07-01,1,0,0,0,2,0,2
83683,2021-02-03,Wednesday,2021,37065,C0098554,Fleet,Hnr trucking llc 2,Carson,CA,"[""poweronly""]",2.0,yes,yes,Other,2020-12-02 18:10:09+00:00,2020-12-02 18:18:28+00:00,0.0,yes,,2020-12-03,2021-02-03,1,0,48,48,0,0,0
83684,2017-08-23,Wednesday,2017,7599,C0090827,Fleet,freight advisor corp,Compton,CA,"[""dryvan""]",10.0,yes,no,Other,2017-08-17 17:16:17+00:00,,,no,,2017-08-23,2017-08-23,1,0,0,0,3,0,3
83685,2018-06-22,Friday,2018,10263,C0090412,Fleet,Carlos Flores,Los Angeles,CA,"[""dryvan""]",20.0,not specified,no,Other,2017-01-11 18:17:00+00:00,2019-06-28 19:55:04+00:00,898.0,no,,2018-03-05,2018-06-22,4,84,0,84,127,0,127
83686,2020-05-21,Thursday,2020,17255,C0093728,Fleet,The Ying Group Inc,Temple City,CA,"[""dryvan""]",6.0,not specified,no,Other,2018-12-05 16:53:21+00:00,2018-12-07 16:54:37+00:00,2.0,no,,2019-02-19,2020-05-21,1,14,0,14,1,0,1
83687,2017-10-27,Friday,2017,8155,C0090202,Fleet,YESING INTERNATIONAL INC,Chino,CA,"[""dryvan""]",5.0,not specified,no,Other,2016-06-17 16:07:34+00:00,2020-07-24 18:06:21+00:00,1498.0,no,,2017-10-17,2017-10-27,1,5,0,5,34,0,34
83688,2019-08-09,Friday,2019,22332,U0109979,Owner Operator,The Melendrez trocking ,San Diego,CA,"[""dryvan""]",1.0,not specified,no,Mobile,2019-05-02 06:17:19+00:00,2019-06-18 17:43:25+00:00,47.0,no,,2019-07-09,2019-08-09,1,49,15,64,4,0,4
83689,2017-09-18,Monday,2017,596,C0090094,Fleet,MC Express Trucking LLC,Rosarito,B.C.,"[""dryvan""]",101.0,not specified,no,Other,2016-03-09 20:56:40+00:00,2019-02-22 16:56:58+00:00,1079.0,no,,2016-04-05,2017-09-18,1,0,0,0,164,0,164
83690,2020-08-28,Friday,2020,35725,C0093547,Fleet,USA Diamonds Trucking,Maywood,CA,"[""poweronly""]",38.0,yes,no,Other,2018-11-12 20:33:34+00:00,2019-03-01 16:49:14+00:00,108.0,no,California (Southern)->California (Northern)|California (Southern)->Arizona|California (Southern)->Nevada (Northern)|California (Southern)->Nevada (Southern),2020-08-21,2020-08-28,1,19,121,140,1,3,4
83691,2018-05-02,Wednesday,2018,627,C0090094,Fleet,MC Express Trucking LLC,Rosarito,B.C.,"[""dryvan""]",101.0,not specified,no,Other,2016-03-09 20:56:40+00:00,2019-02-22 16:56:58+00:00,1079.0,no,,2016-05-19,2018-05-02,1,0,0,0,156,0,156
83692,2020-10-16,Friday,2020,15090,U0103240,Owner Operator,States Runner Trucking Inc,Downey,CA,"[""poweronly""]",1.0,not specified,yes,Other,2018-10-12 17:38:19+00:00,2020-10-15 18:09:03+00:00,734.0,yes,,2020-10-16,2020-10-16,3,0,138,138,0,66,66
83693,2021-02-02,Tuesday,2021,34958,C0094651,Fleet,NFS asset Drayage,Lynwood,CA,"[""poweronly"", ""dryvan""]",195.0,yes,yes,Other,2019-03-04 20:50:37+00:00,2019-03-04 21:03:38+00:00,0.0,yes,,2020-06-12,2021-02-02,1,0,0,0,0,0,0
83694,2018-04-12,Thursday,2018,7741,C0090879,Fleet,Forward Air Inc,Los Angeles,CA,"[""dryvan""]",1.0,yes,no,Other,2017-08-30 19:03:31+00:00,,,no,,2017-09-05,2018-04-12,1,0,0,0,539,0,539
83695,2021-02-02,Tuesday,2021,37489,C0094651,Fleet,NFS asset Drayage,Lynwood,CA,"[""poweronly"", ""dryvan""]",195.0,yes,yes,Other,2019-03-04 20:50:37+00:00,2019-03-04 21:03:38+00:00,0.0,yes,,2021-01-06,2021-02-02,2,0,0,0,0,0,0
83696,2018-03-01,Thursday,2018,7376,U0096685,Owner Operator,Relentless Trucking,Jurupa Valley,CA,"[""poweronly""]",1.0,not specified,no,Other,2017-08-04 20:13:39+00:00,2018-12-13 20:33:16+00:00,496.0,no,,2018-02-16,2018-03-01,1,17,0,17,5,0,5
83697,2019-10-29,Tuesday,2019,20479,U0108169,Owner Operator,Angons trucking,Whittier,CA,"[""poweronly""]",1.0,not specified,no,Other,2019-03-15 16:52:46+00:00,2019-03-26 20:00:38+00:00,11.0,no,,2019-04-21,2019-10-29,1,68,46,114,12,1,13
83698,2020-10-21,Wednesday,2020,36427,C0092813,Fleet,Campos Trucking inc,Compton,CA,"[""poweronly""]",4.0,yes,yes,Other,2018-08-17 20:11:01+00:00,2019-03-25 17:54:43+00:00,219.0,no,,2020-10-13,2020-10-21,1,0,34,34,0,1,1
83699,2017-06-12,Monday,2017,6694,C0090094,Fleet,MC Express Trucking LLC,Rosarito,B.C.,"[""dryvan""]",101.0,not specified,no,Other,2016-03-09 20:56:40+00:00,2019-02-22 16:56:58+00:00,1079.0,no,,2017-06-09,2017-06-12,1,0,0,0,71,0,71
83700,2020-12-03,Thursday,2020,34827,C0097856,Fleet,PEREIRA BROS LLC,Torrance,CA,"[""poweronly""]",3.0,yes,yes,Other,2020-06-01 21:27:42+00:00,2020-06-01 21:36:34+00:00,0.0,yes,,2020-06-18,2020-12-03,4,0,291,291,0,52,52
83701,2016-05-17,Tuesday,2016,503,U0090511,Owner Operator,RobDog Trucking,Moreno Valley,CA,"[""dryvan""]",1.0,not specified,no,Other,2016-03-03 03:54:01+00:00,2019-04-02 23:02:28+00:00,1125.0,no,,2016-03-07,2016-05-17,1,0,0,0,43,0,43
83702,2019-02-22,Friday,2019,13064,C0092315,Fleet,American Freightways Lp.,San Diego,CA,"[""dryvan""]",17.0,not specified,no,Other,2018-06-04 18:59:07+00:00,2018-12-14 23:53:37+00:00,193.0,no,,2018-07-30,2019-02-22,1,22,0,22,46,0,46
83703,2020-06-24,Wednesday,2020,35063,C0097887,Fleet,664 Transport,Los Angeles,CA,"[""poweronly""]",16.0,yes,yes,Other,2020-06-10 20:45:11+00:00,2020-06-10 21:52:20+00:00,0.0,yes,,2020-06-19,2020-06-24,2,0,0,0,0,19,19
83704,2020-10-29,Thursday,2020,33499,C0097561,Fleet,ADC TRANSPORT INC,Paramount,CA,"[""poweronly""]",9.0,yes,yes,Other,2020-02-27 00:41:40+00:00,2020-02-28 22:31:09+00:00,1.0,no,,2020-03-03,2020-10-29,4,28,278,306,0,323,323
83705,2020-08-26,Wednesday,2020,35375,C0094651,Fleet,NFS asset Drayage,Lynwood,CA,"[""poweronly"", ""dryvan""]",195.0,yes,yes,Other,2019-03-04 20:50:37+00:00,2019-03-04 21:03:38+00:00,0.0,yes,,2020-08-26,2020-08-26,1,0,0,0,0,0,0
83706,2019-10-08,Tuesday,2019,12896,C0092544,Fleet,meras trucking inc,Bell,CA,"[""dryvan"", ""poweronly""]",15.0,not specified,no,Other,2018-07-10 20:08:03+00:00,2019-03-07 23:11:26+00:00,240.0,no,California (Central)->Arizona|California (Southern)->Nevada (Northern)|California (Southern)->Nevada (Southern)|California (Southern)->Utah|California (Southern)->Texas (El Paso Region),2018-07-27,2019-10-08,1,23,0,23,165,0,165
83707,2018-07-26,Thursday,2018,12747,U0101166,Owner Operator,Time Money Transport LLC,Carson,CA,"[""poweronly""]",1.0,not specified,no,Other,2018-07-12 01:57:15+00:00,,,no,,2018-07-26,2018-07-26,1,10,0,10,0,0,0
83708,2020-09-09,Wednesday,2020,35639,U0122101,Owner Operator,Amaral Transport LLC,Long Beach,CA,"[""poweronly""]",1.0,yes,yes,Mobile,2020-08-12 21:45:01+00:00,2020-08-13 22:56:39+00:00,1.0,yes,,2020-08-19,2020-09-09,1,0,28,28,0,1,1
83709,2017-01-20,Friday,2017,3831,C0090094,Fleet,MC Express Trucking LLC,Rosarito,B.C.,"[""dryvan""]",101.0,not specified,no,Other,2016-03-09 20:56:40+00:00,2019-02-22 16:56:58+00:00,1079.0,no,,2016-10-25,2017-01-20,2,0,0,0,30,0,30
83710,2020-07-24,Friday,2020,27432,U0115007,Owner Operator,GRADE A TRANSPORT LLC,Perris,CA,"[""poweronly""]",1.0,yes,yes,Other,2019-08-22 22:16:22+00:00,2019-08-22 22:21:59+00:00,0.0,yes,,2020-07-09,2020-07-24,4,0,183,183,0,14,14
83711,2017-10-16,Monday,2017,8205,C0090998,Fleet,Greenline Express inc,Sacramento,CA,"[""dryvan""]",1.0,not specified,no,Other,2017-10-13 16:10:01+00:00,2019-09-18 16:58:44+00:00,705.0,no,,2017-10-16,2017-10-16,1,1,0,1,0,0,0
83712,2019-01-29,Tuesday,2019,13216,U0101601,Owner Operator,Sy transportation group,Industry,CA,"[""poweronly""]",1.0,not specified,no,Other,2018-08-06 03:49:13+00:00,2019-09-19 22:24:11+00:00,409.0,no,,2018-09-26,2019-01-29,1,0,0,0,149,0,149
83713,2018-10-08,Monday,2018,12897,C0092544,Fleet,meras trucking inc,Bell,CA,"[""dryvan"", ""poweronly""]",15.0,not specified,no,Other,2018-07-10 20:08:03+00:00,2019-03-07 23:11:26+00:00,240.0,no,California (Central)->Arizona|California (Southern)->Nevada (Northern)|California (Southern)->Nevada (Southern)|California (Southern)->Utah|California (Southern)->Texas (El Paso Region),2018-07-23,2018-10-08,2,28,0,28,102,0,102
83714,2020-07-30,Thursday,2020,15873,U0103922,Owner Operator,R.W.L. EXPRESS,Long Beach,CA,"[""poweronly""]",1.0,yes,yes,Other,2018-11-06 00:38:31+00:00,2019-08-16 16:55:36+00:00,283.0,yes,,2018-11-06,2020-07-30,2,37,286,323,5,30,35
83715,2018-08-15,Wednesday,2018,12886,C0092544,Fleet,meras trucking inc,Bell,CA,"[""dryvan"", ""poweronly""]",15.0,not specified,no,Other,2018-07-10 20:08:03+00:00,2019-03-07 23:11:26+00:00,240.0,no,California (Central)->Arizona|California (Southern)->Nevada (Northern)|California (Southern)->Nevada (Southern)|California (Southern)->Utah|California (Southern)->Texas (El Paso Region),2018-03-07,2018-08-15,2,30,0,30,290,0,290
83716,2020-01-06,Monday,2020,29651,C0096762,Fleet,MONTES CORPORATION,Los Angeles,CA,"[""dryvan"", ""poweronly""]",17.0,yes,yes,Other,2019-10-17 22:14:38+00:00,2019-10-17 22:16:16+00:00,0.0,yes,,2019-10-14,2020-01-06,3,64,203,267,18,71,89
